"URN","Linked UID","Group Name","Companies House Number","Group Type","Closed Date","Group Status","FederationType","Joined date","EstablishmentName","TypeOfEstablishment (code)","TypeOfEstablishment (name)","PhaseOfEducation (code)","PhaseOfEducation (name)","LA (code)","LA (name)","HasSharedHT"
135234,4105,"Ormiston Academies Trust","","School sponsor","","Open","","03-09-2007","George Salter Academy","28","Academy sponsor led","4","Secondary","333","Sandwell"
135234,4106,"ORMISTON ACADEMIES TRUST","06982127","Multi-academy trust","","Open","","01-09-2011","George Salter Academy","28","Academy sponsor led","4","Secondary","333","Sandwell"
135242,2156,"ARK Schools","","School sponsor","","Open","","05-09-2007","Ark King Solomon Academy","28","Academy sponsor led","7","All through","213","Westminster"
135242,2157,"ARK SCHOOLS","05112090","Multi-academy trust","","Open","","05-09-2007","Ark King Solomon Academy","28","Academy sponsor led","7","All through","213","Westminster"
135249,3319,"Harris Federation","","School sponsor","","Open","","03-09-2007","Harris Academy South Norwood","28","Academy sponsor led","4","Secondary","306","Croydon"
135249,3320,"HARRIS FEDERATION","06228587","Multi-academy trust","","Open","","03-09-2007","Harris Academy South Norwood","28","Academy sponsor led","4","Secondary","306","Croydon"
135262,5142,"United Learning Trust","","School sponsor","","Open","","01-09-2007","Stockport Academy","28","Academy sponsor led","4","Secondary","356","Stockport"
135262,5143,"UNITED LEARNING TRUST","04439859","Multi-academy trust","","Open","","01-09-2007","Stockport Academy","28","Academy sponsor led","4","Secondary","356","Stockport"
135263,2863,"TDA Education Trust","","School sponsor","","Open","","10-09-2007","Thomas Deacon Academy","28","Academy sponsor led","7","All through","874","Peterborough"
135263,16519,"THOMAS DEACON EDUCATION TRUST","05090788","Multi-academy trust","","Open","","10-09-2007","Thomas Deacon Academy","28","Academy sponsor led","7","All through","874","Peterborough"
135264,4760,"ST MATTHEW ACADEMY","05144640","Single-academy trust","","Open","","01-09-2007","St Matthew Academy","28","Academy sponsor led","7","All through","209","Lewisham"
135264,2150,"Archdiocese of Southwark","","School sponsor","","Open","","01-09-2007","St Matthew Academy","28","Academy sponsor led","7","All through","209","Lewisham"
135290,3868,"THE MARSH ACADEMY","06202969","Single-academy trust","","Open","","03-09-2007","The Marsh Academy","28","Academy sponsor led","4","Secondary","886","Kent"
135290,5029,"The Skinners' Company","","School sponsor","","Open","","01-07-2015","The Marsh Academy","28","Academy sponsor led","4","Secondary","886","Kent"
135294,2854,"THE DAVID ROSS EDUCATION TRUST","06182612","Multi-academy trust","","Open","","01-09-2007","Havelock Academy","28","Academy sponsor led","4","Secondary","812","North East Lincolnshire"
135294,2853,"The David Ross Education Trust","","School sponsor","","Open","","01-09-2007","Havelock Academy","28","Academy sponsor led","4","Secondary","812","North East Lincolnshire"
135295,2515,"Cabot Learning Federation","","School sponsor","","Open","","01-09-2007","John Cabot Academy","28","Academy sponsor led","4","Secondary","803","South Gloucestershire"
135295,2516,"CABOT LEARNING FEDERATION","06207590","Multi-academy trust","","Open","","01-09-2007","John Cabot Academy","28","Academy sponsor led","4","Secondary","803","South Gloucestershire"
135296,5143,"UNITED LEARNING TRUST","04439859","Multi-academy trust","","Open","","01-09-2007","William Hulme's Grammar School","28","Academy sponsor led","7","All through","352","Manchester"
135296,5142,"United Learning Trust","","School sponsor","","Open","","01-09-2007","William Hulme's Grammar School","28","Academy sponsor led","7","All through","352","Manchester"
135297,3725,"LEIGH ACADEMIES TRUST","02336587","Multi-academy trust","","Open","","01-09-2007","The Leigh Academy","28","Academy sponsor led","4","Secondary","886","Kent"
135297,3724,"Leigh Academies Trust","","School sponsor","","Open","Hard","01-09-2007","The Leigh Academy","28","Academy sponsor led","4","Secondary","886","Kent"
135300,2515,"Cabot Learning Federation","","School sponsor","","Open","","01-09-2007","Bristol Brunel Academy","28","Academy sponsor led","4","Secondary","801","Bristol City of"
135300,2516,"CABOT LEARNING FEDERATION","06207590","Multi-academy trust","","Open","","01-09-2007","Bristol Brunel Academy","28","Academy sponsor led","4","Secondary","801","Bristol City of"
135305,3015,"EDUCATION FOR THE 21ST CENTURY","07559170","Multi-academy trust","","Open","Hard","01-01-2018","Spires Academy","28","Academy sponsor led","4","Secondary","886","Kent"
135305,3014,"Education for the 21st Century","","School sponsor","","Open","Hard","01-01-2018","Spires Academy","28","Academy sponsor led","4","Secondary","886","Kent"
135306,2470,"The Brooke Weston Trust","","School sponsor","","Open","","01-09-2008","Corby Business Academy","28","Academy sponsor led","4","Secondary","928","Northamptonshire"
135306,2471,"THE BROOKE WESTON TRUST","02400784","Multi-academy trust","","Open","","01-09-2008","Corby Business Academy","28","Academy sponsor led","4","Secondary","928","Northamptonshire"
135311,3319,"Harris Federation","","School sponsor","","Open","","01-09-2007","Harris City Academy Crystal Palace","28","Academy sponsor led","4","Secondary","306","Croydon"
135311,3320,"HARRIS FEDERATION","06228587","Multi-academy trust","","Open","","01-09-2007","Harris City Academy Crystal Palace","28","Academy sponsor led","4","Secondary","306","Croydon"
135313,3906,"MIDDLETON ACADEMY LIMITED","06246929","Single-academy trust","","Open","","01-09-2007","St Anne's Church of England Academy","28","Academy sponsor led","4","Secondary","354","Rochdale"
135313,2915,"Diocese of Manchester","","School sponsor","","Open","Hard","01-09-2007","St Anne's Church of England Academy","28","Academy sponsor led","4","Secondary","354","Rochdale"
135314,2903,"Diocese of Durham","","School sponsor","","Open","","01-09-2007","St Aidan's Church of England Academy","28","Academy sponsor led","4","Secondary","841","Darlington"
135314,4619,"ST AIDAN'S CHURCH OF ENGLAND ACADEMY LIMITED","06162865","Single-academy trust","","Open","","01-09-2007","St Aidan's Church of England Academy","28","Academy sponsor led","4","Secondary","841","Darlington"
135315,2156,"ARK Schools","","School sponsor","","Open","","01-09-2007","Ark Walworth Academy","28","Academy sponsor led","4","Secondary","210","Southwark"
135315,2157,"ARK SCHOOLS","05112090","Multi-academy trust","","Open","","01-09-2007","Ark Walworth Academy","28","Academy sponsor led","4","Secondary","210","Southwark"
135316,4259,"Prospect Education (Technology) Trust Limited","","School sponsor","","Open","","01-09-2007","Ashcroft Technology Academy","28","Academy sponsor led","4","Secondary","212","Wandsworth"
135316,4258,"PROSPECT EDUCATION (TECHNOLOGY) TRUST LIMITED","02484729","Single-academy trust","","Open","","01-09-2007","Ashcroft Technology Academy","28","Academy sponsor led","4","Secondary","212","Wandsworth"
135317,2471,"THE BROOKE WESTON TRUST","02400784","Multi-academy trust","","Open","","01-09-2008","Brooke Weston Academy","28","Academy sponsor led","4","Secondary","928","Northamptonshire"
135317,2470,"The Brooke Weston Trust","","School sponsor","","Open","","01-09-2008","Brooke Weston Academy","28","Academy sponsor led","4","Secondary","928","Northamptonshire"
135335,16243,"TOVE LEARNING TRUST","07525820","Multi-academy trust","","Open","Hard","01-04-2019","Grace Academy Coventry","28","Academy sponsor led","4","Secondary","331","Coventry"
135335,4612,"Tove Learning Trust","","School sponsor","","Open","Hard","01-04-2019","Grace Academy Coventry","28","Academy sponsor led","4","Secondary","331","Coventry"
135337,2233,"THE SHARED LEARNING TRUST","05958361","Multi-academy trust","","Open","","01-03-2015","The Chalk Hills Academy","28","Academy sponsor led","4","Secondary","821","Luton"
135338,2233,"THE SHARED LEARNING TRUST","05958361","Multi-academy trust","","Open","","01-03-2015","The Stockwood Park Academy","28","Academy sponsor led","4","Secondary","821","Luton"
135364,5142,"United Learning Trust","","School sponsor","","Open","","01-09-2007","Swindon Academy","28","Academy sponsor led","7","All through","866","Swindon"
135364,5143,"UNITED LEARNING TRUST","04439859","Multi-academy trust","","Open","","01-09-2007","Swindon Academy","28","Academy sponsor led","7","All through","866","Swindon"
135365,5143,"UNITED LEARNING TRUST","04439859","Multi-academy trust","","Open","","01-09-2007","North Oxfordshire Academy","28","Academy sponsor led","4","Secondary","931","Oxfordshire"
135365,5142,"United Learning Trust","","School sponsor","","Open","","01-09-2007","North Oxfordshire Academy","28","Academy sponsor led","4","Secondary","931","Oxfordshire"
135367,15911,"The Diocese of West Yorkshire and the Dales","","School sponsor","","Open","","01-11-2015","Bradford Academy","28","Academy sponsor led","7","All through","380","Bradford"
135367,16566,"BRADFORD ACADEMY TRUST","05508735","Single-academy trust","","Open","","01-09-2007","Bradford Academy","28","Academy sponsor led","7","All through","380","Bradford"
135371,3153,"Future Schools Trust","","School sponsor","","Open","","03-09-2007","Cornwallis Academy","28","Academy sponsor led","4","Secondary","886","Kent"
135371,3154,"FUTURE SCHOOLS TRUST","06272751","Multi-academy trust","","Open","","03-09-2007","Cornwallis Academy","28","Academy sponsor led","4","Secondary","886","Kent"
135372,3153,"Future Schools Trust","","School sponsor","","Open","","03-09-2007","New Line Learning Academy","28","Academy sponsor led","4","Secondary","886","Kent"
135372,3154,"FUTURE SCHOOLS TRUST","06272751","Multi-academy trust","","Open","","03-09-2007","New Line Learning Academy","28","Academy sponsor led","4","Secondary","886","Kent"
135389,2156,"ARK Schools","","School sponsor","","Open","","01-09-2008","Ark Evelyn Grace Academy","28","Academy sponsor led","4","Secondary","208","Lambeth"
135389,2157,"ARK SCHOOLS","05112090","Multi-academy trust","","Open","","01-09-2008","Ark Evelyn Grace Academy","28","Academy sponsor led","4","Secondary","208","Lambeth"
135423,3676,"The Laidlaw Schools Trust","","School sponsor","","Open","","13-12-2010","Excelsior Academy","28","Academy sponsor led","7","All through","391","Newcastle upon Tyne"
135423,3677,"THE LAIDLAW SCHOOLS TRUST","05735093","Multi-academy trust","","Open","","01-09-2008","Excelsior Academy","28","Academy sponsor led","7","All through","391","Newcastle upon Tyne"
135449,3049,"Quaerere Academy Trust, (Q3 Academy - Eric and Grace Payne)","","School sponsor","","Open","","01-09-2008","Q3 Academy Great Barr","28","Academy sponsor led","4","Secondary","333","Sandwell"
135449,16332,"QUAERERE ACADEMIES TRUST","06221748","Multi-academy trust","","Open","","01-09-2008","Q3 Academy Great Barr","28","Academy sponsor led","4","Secondary","333","Sandwell"
135507,5416,"WREN ACADEMIES TRUST","06422162","Single-academy trust","","Open","","01-09-2008","Wren Academy","28","Academy sponsor led","7","All through","302","Barnet"
135507,16403,"Wren Academy","","School sponsor","","Open","","01-11-2016","Wren Academy","28","Academy sponsor led","7","All through","302","Barnet"
135508,3224,"Great Academies Education Trust","","School sponsor","","Open","","01-09-2008","Great Academy Ashton","28","Academy sponsor led","4","Secondary","357","Tameside"
135508,3225,"GREAT ACADEMIES EDUCATION TRUST","06237630","Multi-academy trust","","Open","","01-09-2008","Great Academy Ashton","28","Academy sponsor led","4","Secondary","357","Tameside"
135531,2635,"THE CHELSEA ACADEMY (A SCIENCE ACADEMY)","06176090","Single-academy trust","","Open","","01-09-2009","Chelsea Academy","28","Academy sponsor led","4","Secondary","207","Kensington and Chelsea"
135531,2914,"Diocese of London","","School sponsor","","Open","","01-09-2009","Chelsea Academy","28","Academy sponsor led","4","Secondary","207","Kensington and Chelsea"
135563,5007,"The Priory Federation of Academies","","School sponsor","","Open","","01-09-2008","The Priory Witham Academy","28","Academy sponsor led","7","All through","925","Lincolnshire"
